美金1	美金2	特征参数	最小位子	相交面积
5	10			能量0		48	0.0094410682
		熵值0		44	0.0210472467
		对比度0		44	0.0109067235
		逆差矩0		44	0.0042768259
		相关性0		48	0.0393645741
		能量90		73	0.0089626658
		熵值90		44	0.0314321386
		对比度90		44	0.0113274230
		逆差矩90		44	0.0050505338
		相关性90		58	0.0590114541
5	20			能量0		48	0.0171200642
		熵值0		23	0.0737061854
		对比度0		108	0.0276623760
		逆差矩0		108	0.0125738626
		相关性0		23	0.0201576899
		能量90		87	0.0132267289
		熵值90		33	0.0581475412
		对比度90		33	0.0209424417
		逆差矩90		33	0.0107543916
		相关性90		24	0.0211221124
5	50			能量0		28	0.0128177164
		熵值0		42	0.0028474437
		对比度0		44	0.0025275197
		逆差矩0		44	0.0002055777
		相关性0		27	0.0941979502
		能量90		94	0.0158664932
		熵值90		42	0.0149185303
		对比度90		44	0.0004568439
		逆差矩90		44	0.0002295856
		相关性90		82	0.0451824992
5	100			能量0		44	0.0067268886
		熵值0		36	0.0313170126
		对比度0		108	0.0373952790
		逆差矩0		38	0.0127716867
		相关性0		114	0.0595521257
		能量90		44	0.0193858607
		熵值90		112	0.0406632817
		对比度90		44	0.0129875964
		逆差矩90		44	0.0067702227
		相关性90		55	0.1056040007
10	20			能量0		133	0.0057106194
		熵值0		133	0.0409302959
		对比度0		34	0.0303819116
		逆差矩0		133	0.0130989994
		相关性0		113	0.0241848893
		能量90		133	0.0113995767
		熵值90		113	0.0545469563
		对比度90		34	0.0282060211
		逆差矩90		34	0.0123229825
		相关性90		34	0.0377959394
10	50			能量0		93	0.0118074465
		熵值0		93	0.0439951439
		对比度0		65	0.0321291636
		逆差矩0		38	0.0113560804
		相关性0		123	0.0758437954
		能量90		93	0.0126331313
		熵值90		93	0.0513354375
		对比度90		65	0.0428464427
		逆差矩90		111	0.0155954778
		相关性90		62	0.0576141285
10	100			能量0		27	0.0098634095
		熵值0		27	0.0461990035
		对比度0		66	0.0259840363
		逆差矩0		32	0.0127996109
		相关性0		15	0.0474693535
		能量90		27	0.0168395362
		熵值90		96	0.0762451845
		对比度90		152	0.0308820818
		逆差矩90		152	0.0133976183
		相关性90		128	0.0694917172
20	50			能量0		27	0.0238541746
		熵值0		83	0.0543457079
		对比度0		38	0.0404916942
		逆差矩0		38	0.0146776197
		相关性0		53	0.0819346290
		能量90		53	0.0285800033
		熵值90		83	0.0589626590
		对比度90		33	0.0335630450
		逆差矩90		33	0.0127148950
		相关性90		62	0.0642570837
20	100			能量0		133	0.0088512726
		熵值0		132	0.0180749712
		对比度0		35	0.0233923102
		逆差矩0		35	0.0148815446
		相关性0		35	0.0241825342
		能量90		52	0.0112253788
		熵值90		132	0.0168453359
		对比度90		52	0.0333228411
		逆差矩90		52	0.0116602191
		相关性90		52	0.0157011604
50	100			能量0		6	0.0207244925
		熵值0		42	0.0168858249
		对比度0		44	0.0340640052
		逆差矩0		44	0.0124909972
		相关性0		128	0.0737884795
		能量90		46	0.0220706585
		熵值90		42	0.0361761476
		对比度90		25	0.0412783068
		逆差矩90		62	0.0165680980
		相关性90		94	0.1076568682
