识别种类	实际种类
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
100		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
100		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
100		20
 20		20
 20		20
 20		20
 20		20
 50		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
100		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
100		20
 20		20
 20		20
 20		20
 20		20
 50		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
100		20
 20		20
100		20
 20		20
 50		20
 20		20
 20		20
 20		20
 20		20
 50		20
 20		20
 50		20
 20		20
 20		20
 20		20
 50		20
 20		20
 10		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 50		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 50		20
100		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 50		20
 20		20
 20		20
 20		20
100		20
100		20
100		20
 50		20
100		20

正确识别数：	172
总数为：	195
准确率为：	0.882
