识别种类	实际种类
  5		5
100		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5
  5		5
  5		5
  5		5
100		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5
 20		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
 20		5
100		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5

正确识别数：	183
总数为：	197
准确率为：	0.929
